profile_id,zip_code,sub_profile_type,service_ids_json,commonCaregiverProfile_id,commonCaregiverProfile_repeatClientsCount,commonCaregiverProfile_merchandizedJobInterests_flags_json
0d394204-b884-41b9-90e3-0d4d0c86b7f2,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",26526454,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0d6f2cf6-745f-43ea-a289-670416319b95,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",36119605,0.0,[]
0d7e151d-cfd9-494f-b504-9a747658edab,07008,commonCaregiverProfile,"[""CHILD_CARE""]",32304515,0.0,"[""dateNight"", ""lightCleaning"", ""personalAssistant"", ""shopping"", ""transportation""]"
0daeb6bc-9971-485b-b1fa-7c95c2b7b9b1,07008,commonCaregiverProfile,"[""CHILD_CARE""]",33923300,0.0,"[""lightCleaning"", ""mealPrepLaundry"", ""shopping"", ""transportation""]"
0dfbfa3a-6acf-42be-bc93-57405d20807c,07008,commonCaregiverProfile,"[""CHILD_CARE""]",35992254,0.0,[]
0e07bb83-7112-485a-b3a0-cb778a76f101,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
0e3df7b7-ed63-43e4-b5d2-53efec58d458,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",28465345,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping"", ""transportation""]"
0e757857-1db9-42b4-a553-a83fa9f5c50f,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE"", ""TUTORING""]",14315995,0.0,"[""petHelp""]"
0ea3d564-fb66-48f6-a7f9-570d7778627f,07008,commonCaregiverProfile,"[""CHILD_CARE""]",35853325,0.0,[]
0eba588a-90ae-456c-a69b-4e24a23af1fd,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""TUTORING""]",33899624,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp""]"
0ebe47d0-1711-481f-aae8-83a2a6d5ad60,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34125008,0.0,[]
0f041250-aa7b-4a16-ba21-7af70d132db4,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34920529,0.0,[]
0f0de89d-2d42-4e55-9239-953c13a84c4a,07008,commonCaregiverProfile,"[""PET_CARE"", ""SENIOR_CARE""]",,0.0,[]
0f3e93e6-8984-441d-b6a7-2f4faddc8237,07008,commonCaregiverProfile,"[""CHILD_CARE""]",35090778,0.0,[]
0f4f78de-be21-4bd4-96a6-5666c0d49c40,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",35661113,0.0,[]
0f72d6ea-d48e-4300-9795-809a3de2bddf,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",24636004,0.0,"[""companionCare"", ""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0f8c1b5d-5176-40b7-9bbf-a2c07ffca6e1,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",32406230,0.0,[]
0fbd3544-7b75-4697-b925-eb1f97c75172,07008,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping"", ""transportation""]"
0fdb079e-ad8f-4495-ae87-346eabca5cd3,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0fe66faf-e119-45b2-acaa-8c0f1e6f645e,07008,commonCaregiverProfile,"[""CHILD_CARE""]",33997375,0.0,[]
101121d8-15d1-417d-9220-501e3d72a01e,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""SENIOR_CARE""]",35332521,0.0,[]
102c5f28-b07c-47f7-a867-ff0643996d5c,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",34052631,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp"", ""transportation""]"
1052cff6-8fcb-4aa6-b2fb-b19d1491a304,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",5010656,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping""]"
106f067d-b693-4530-932f-dd0171cc939b,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",2502497,0.0,"[""companionCare"", ""lightCleaning"", ""personalAssistant"", ""petHelp""]"
10a03839-44d4-4df1-be49-8e4247e303ee,07008,commonCaregiverProfile,"[""CHILD_CARE""]",33456512,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
10bc957c-586e-4b31-9039-827ab5e26991,07008,commonCaregiverProfile,"[""CHILD_CARE""]",18770230,0.0,"[""petHelp"", ""transportation""]"
10cea8ac-f188-460e-bf32-bc30d68ba2aa,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",23935412,0.0,[]
10fbd932-1842-48c5-bcbf-194e7bf10db0,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",24309577,0.0,[]
10ff9fe8-a882-4c9d-8c75-8f65360889e8,07008,commonCaregiverProfile,"[""CHILD_CARE""]",32942452,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp""]"
111dc315-9e18-4bb6-8b7b-1823ee93ba3f,07008,commonCaregiverProfile,"[""HOUSEKEEPING""]",,0.0,[]
1124f796-4899-4d92-a4ff-6a5b94ebd93e,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",34438912,0.0,[]
1135bf31-8624-44a4-b474-e938a5fbac3f,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping""]"
113eebdb-464f-4195-91af-144c5ebc97b7,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",35909736,0.0,[]
1175b237-c9bc-466c-b92e-34fda9c38c1b,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
11808a80-d850-449f-a1a6-b4f88202f046,07008,commonCaregiverProfile,"[""CHILD_CARE""]",36079001,0.0,[]
